i: 0, filename: test_spam/spmsga142.txt, predicted category: 1
i: 1, filename: test_spam/spmsga143.txt, predicted category: 1
i: 2, filename: test_spam/spmsga144.txt, predicted category: 1
i: 3, filename: test_spam/spmsga145.txt, predicted category: 1
i: 4, filename: test_spam/spmsga146.txt, predicted category: 1
i: 5, filename: test_spam/spmsga147.txt, predicted category: 1
i: 6, filename: test_spam/spmsga148.txt, predicted category: 1
i: 7, filename: test_spam/spmsga149.txt, predicted category: 1
i: 8, filename: test_spam/spmsga15.txt, predicted category: 1
i: 9, filename: test_spam/spmsga150.txt, predicted category: 1
i: 10, filename: test_spam/spmsga151.txt, predicted category: 1
i: 11, filename: test_spam/spmsga152.txt, predicted category: 1
i: 12, filename: test_spam/spmsga153.txt, predicted category: 1
i: 13, filename: test_spam/spmsga154.txt, predicted category: 1
i: 14, filename: test_spam/spmsga155.txt, predicted category: 1
i: 15, filename: test_spam/spmsga156.txt, predicted category: 1
i: 16, filename: test_spam/spmsga157.txt, predicted category: 1
i: 17, filename: test_spam/spmsga158.txt, predicted category: 1
i: 18, filename: test_spam/spmsga159.txt, predicted category: 1
i: 19, filename: test_spam/spmsga16.txt, predicted category: 1
i: 20, filename: test_spam/spmsga160.txt, predicted category: 1
i: 21, filename: test_spam/spmsga161.txt, predicted category: 1
i: 22, filename: test_spam/spmsga162.txt, predicted category: 1
i: 23, filename: test_spam/spmsga163.txt, predicted category: 1
i: 24, filename: test_spam/spmsga164.txt, predicted category: 1
i: 25, filename: test_spam/spmsga165.txt, predicted category: 1
i: 26, filename: test_spam/spmsga166.txt, predicted category: 1
i: 27, filename: test_spam/spmsga17.txt, predicted category: 1
i: 28, filename: test_spam/spmsga18.txt, predicted category: 1
i: 29, filename: test_spam/spmsga19.txt, predicted category: 1
i: 30, filename: test_spam/spmsga2.txt, predicted category: 1
i: 31, filename: test_spam/spmsga20.txt, predicted category: 1
i: 32, filename: test_spam/spmsga21.txt, predicted category: 1
i: 33, filename: test_spam/spmsga22.txt, predicted category: 1
i: 34, filename: test_spam/spmsga23.txt, predicted category: 1
i: 35, filename: test_spam/spmsga24.txt, predicted category: 1
i: 36, filename: test_spam/spmsga25.txt, predicted category: 1
i: 37, filename: test_spam/spmsga26.txt, predicted category: 0
i: 38, filename: test_spam/spmsga27.txt, predicted category: 1
i: 39, filename: test_spam/spmsga28.txt, predicted category: 1
i: 40, filename: test_spam/spmsga29.txt, predicted category: 1
i: 41, filename: test_spam/spmsga3.txt, predicted category: 0
i: 42, filename: test_spam/spmsga30.txt, predicted category: 1
i: 43, filename: test_spam/spmsga31.txt, predicted category: 1
i: 44, filename: test_spam/spmsga32.txt, predicted category: 1
i: 45, filename: test_spam/spmsga33.txt, predicted category: 1
i: 46, filename: test_spam/spmsga34.txt, predicted category: 1
i: 47, filename: test_spam/spmsga35.txt, predicted category: 1
i: 48, filename: test_ling/5-1298msg1.txt, predicted category: 0
i: 49, filename: test_ling/5-1298msg2.txt, predicted category: 0
i: 50, filename: test_ling/5-1298msg3.txt, predicted category: 0
i: 51, filename: test_ling/5-1300msg1.txt, predicted category: 0
i: 52, filename: test_ling/5-1300msg2.txt, predicted category: 0
i: 53, filename: test_ling/5-1300msg3.txt, predicted category: 0
i: 54, filename: test_ling/5-1301msg1.txt, predicted category: 0
i: 55, filename: test_ling/5-1302msg1.txt, predicted category: 0
i: 56, filename: test_ling/5-1303msg1.txt, predicted category: 0
i: 57, filename: test_ling/5-1303msg2.txt, predicted category: 0
i: 58, filename: test_ling/5-1303msg3.txt, predicted category: 1
i: 59, filename: test_ling/5-1304msg1.txt, predicted category: 0
i: 60, filename: test_ling/5-1307msg1.txt, predicted category: 0
i: 61, filename: test_ling/5-1307msg2.txt, predicted category: 0
i: 62, filename: test_ling/5-1307msg3.txt, predicted category: 0
i: 63, filename: test_ling/5-1311msg1.txt, predicted category: 0
i: 64, filename: test_ling/5-1311msg2.txt, predicted category: 0
i: 65, filename: test_ling/5-1311msg3.txt, predicted category: 0
i: 66, filename: test_ling/5-1312msg1.txt, predicted category: 0
i: 67, filename: test_ling/5-1312msg2.txt, predicted category: 0
i: 68, filename: test_ling/5-1312msg3.txt, predicted category: 0
i: 69, filename: test_ling/5-1315msg1.txt, predicted category: 0
i: 70, filename: test_ling/5-1315msg2.txt, predicted category: 0
i: 71, filename: test_ling/5-1315msg3.txt, predicted category: 0
i: 72, filename: test_ling/5-1315msg4.txt, predicted category: 1
i: 73, filename: test_ling/5-1315msg5.txt, predicted category: 0
i: 74, filename: test_ling/5-1316msg1.txt, predicted category: 0
i: 75, filename: test_ling/5-1318msg1.txt, predicted category: 0
i: 76, filename: test_ling/5-1318msg2.txt, predicted category: 0
i: 77, filename: test_ling/5-1318msg3.txt, predicted category: 0
i: 78, filename: test_ling/5-1321msg1.txt, predicted category: 0
i: 79, filename: test_ling/5-1322msg1.txt, predicted category: 0
i: 80, filename: test_ling/5-1324msg1.txt, predicted category: 0
i: 81, filename: test_ling/5-1325msg1.txt, predicted category: 0
i: 82, filename: test_ling/5-1326msg1.txt, predicted category: 1
i: 83, filename: test_ling/5-1327msg1.txt, predicted category: 1
i: 84, filename: test_ling/5-1328msg1.txt, predicted category: 0
i: 85, filename: test_ling/5-1328msg2.txt, predicted category: 0
i: 86, filename: test_ling/5-1328msg3.txt, predicted category: 0
i: 87, filename: test_ling/5-1329msg1.txt, predicted category: 0
i: 88, filename: test_ling/5-1330msg1.txt, predicted category: 0
i: 89, filename: test_ling/5-1331msg1.txt, predicted category: 0
i: 90, filename: test_ling/5-1332msg1.txt, predicted category: 0
i: 91, filename: test_ling/5-1333msg1.txt, predicted category: 0
i: 92, filename: test_ling/5-1335msg1.txt, predicted category: 0
i: 93, filename: test_ling/5-1337msg1.txt, predicted category: 0
i: 94, filename: test_ling/5-1338msg1.txt, predicted category: 1
i: 95, filename: test_ling/5-1339msg1.txt, predicted category: 0
i: 96, filename: test_ling/5-1343msg1.txt, predicted category: 0
i: 97, filename: test_ling/5-1344msg1.txt, predicted category: 0
i: 98, filename: test_ling/5-1345msg1.txt, predicted category: 0
i: 99, filename: test_ling/5-1347msg1.txt, predicted category: 1
i: 100, filename: test_ling/5-1349msg1.txt, predicted category: 0
i: 101, filename: test_ling/5-1351msg1.txt, predicted category: 0
i: 102, filename: test_ling/5-1352msg1.txt, predicted category: 0
i: 103, filename: test_ling/5-1353msg1.txt, predicted category: 0
i: 104, filename: test_ling/5-1353msg2.txt, predicted category: 0
i: 105, filename: test_ling/5-1353msg3.txt, predicted category: 0
i: 106, filename: test_ling/5-1356msg1.txt, predicted category: 0
i: 107, filename: test_ling/5-1358msg1.txt, predicted category: 0
i: 108, filename: test_ling/5-1359msg1.txt, predicted category: 0
i: 109, filename: test_ling/5-1361msg1.txt, predicted category: 0
i: 110, filename: test_ling/5-1362msg1.txt, predicted category: 0
i: 111, filename: test_ling/5-1370msg1.txt, predicted category: 0
i: 112, filename: test_ling/5-1371msg0.txt, predicted category: 0
i: 113, filename: test_ling/5-1371msg1.txt, predicted category: 0
i: 114, filename: test_ling/5-1371msg2.txt, predicted category: 0
i: 115, filename: test_ling/5-1372msg1.txt, predicted category: 0
i: 116, filename: test_ling/5-1372msg2.txt, predicted category: 0
i: 117, filename: test_ling/5-1372msg3.txt, predicted category: 0
i: 118, filename: test_ling/5-1373msg1.txt, predicted category: 0
i: 119, filename: test_ling/5-1375msg1.txt, predicted category: 0
i: 120, filename: test_ling/5-1375msg2.txt, predicted category: 0
i: 121, filename: test_ling/5-1375msg3.txt, predicted category: 0
i: 122, filename: test_ling/5-1375msg4.txt, predicted category: 0
i: 123, filename: test_ling/5-1375msg5.txt, predicted category: 0
i: 124, filename: test_ling/5-1376msg1.txt, predicted category: 1
i: 125, filename: test_ling/5-1377msg1.txt, predicted category: 0
i: 126, filename: test_ling/5-1378msg1.txt, predicted category: 0
i: 127, filename: test_ling/5-1382msg0.txt, predicted category: 0
i: 128, filename: test_ling/5-1383msg1.txt, predicted category: 0
i: 129, filename: test_ling/5-1384msg1.txt, predicted category: 0
i: 130, filename: test_ling/5-1385msg1.txt, predicted category: 0
i: 131, filename: test_ling/5-1386msg1.txt, predicted category: 0
i: 132, filename: test_ling/5-1388msg1.txt, predicted category: 0
i: 133, filename: test_ling/5-1389msg1.txt, predicted category: 0
i: 134, filename: test_ling/5-1390msg1.txt, predicted category: 0
i: 135, filename: test_ling/5-1390msg2.txt, predicted category: 0
i: 136, filename: test_ling/5-1390msg3.txt, predicted category: 1
i: 137, filename: test_ling/5-1393msg1.txt, predicted category: 0
i: 138, filename: test_ling/5-1393msg2.txt, predicted category: 0
i: 139, filename: test_ling/5-1393msg3.txt, predicted category: 0
i: 140, filename: test_ling/5-1398msg1.txt, predicted category: 0
i: 141, filename: test_ling/5-1402msg1.txt, predicted category: 1
i: 142, filename: test_ling/5-1402msg2.txt, predicted category: 0
i: 143, filename: test_ling/5-1402msg3.txt, predicted category: 0
i: 144, filename: test_ling/5-1405msg1.txt, predicted category: 0
i: 145, filename: test_ling/5-1405msg2.txt, predicted category: 0
i: 146, filename: test_ling/5-1405msg3.txt, predicted category: 0
i: 147, filename: test_ling/5-1413msg1.txt, predicted category: 0
i: 148, filename: test_ling/5-1413msg2.txt, predicted category: 0
i: 149, filename: test_ling/5-1413msg3.txt, predicted category: 0
i: 150, filename: test_ling/5-1413msg4.txt, predicted category: 0
i: 151, filename: test_ling/5-1413msg5.txt, predicted category: 1
i: 152, filename: test_ling/5-1415msg1.txt, predicted category: 0
i: 153, filename: test_ling/5-1415msg2.txt, predicted category: 0
i: 154, filename: test_ling/5-1415msg3.txt, predicted category: 0
i: 155, filename: test_ling/5-1416msg1.txt, predicted category: 0
i: 156, filename: test_ling/5-1419msg1.txt, predicted category: 0
i: 157, filename: test_ling/5-1420msg1.txt, predicted category: 0
i: 158, filename: test_ling/5-1420msg2.txt, predicted category: 0
i: 159, filename: test_ling/5-1420msg3.txt, predicted category: 0
i: 160, filename: test_ling/5-1426msg1.txt, predicted category: 0
i: 161, filename: test_ling/5-1426msg2.txt, predicted category: 0
i: 162, filename: test_ling/5-1426msg3.txt, predicted category: 0
i: 163, filename: test_ling/5-1430msg1.txt, predicted category: 0
i: 164, filename: test_ling/5-1430msg2.txt, predicted category: 0
i: 165, filename: test_ling/5-1430msg3.txt, predicted category: 0
i: 166, filename: test_ling/5-1431msg1.txt, predicted category: 0
i: 167, filename: test_ling/5-1432msg1.txt, predicted category: 0
i: 168, filename: test_ling/5-1434msg1.txt, predicted category: 0
i: 169, filename: test_ling/5-1434msg2.txt, predicted category: 0
i: 170, filename: test_ling/5-1434msg3.txt, predicted category: 0
i: 171, filename: test_ling/5-1435msg1.txt, predicted category: 0
i: 172, filename: test_ling/5-1435msg2.txt, predicted category: 0
i: 173, filename: test_ling/5-1435msg3.txt, predicted category: 0
i: 174, filename: test_ling/5-1439msg1.txt, predicted category: 0
i: 175, filename: test_ling/5-1440msg1.txt, predicted category: 0
i: 176, filename: test_ling/5-1442msg1.txt, predicted category: 0
i: 177, filename: test_ling/5-1443msg1.txt, predicted category: 0
i: 178, filename: test_ling/5-1444msg1.txt, predicted category: 0
i: 179, filename: test_ling/5-1445msg1.txt, predicted category: 0
i: 180, filename: test_ling/5-1450msg1.txt, predicted category: 0
i: 181, filename: test_ling/5-1452msg1.txt, predicted category: 0
i: 182, filename: test_ling/5-1453msg1.txt, predicted category: 0
i: 183, filename: test_ling/5-1453msg2.txt, predicted category: 0
